Album_ID,Album_Title,Album_Year,Album_Cover
1,Please Please Me,1963,1.jpg
2,A Hard Day's Night,1964,2.jpg
3,Help!,1965,3.jpg
4,Revolver,1966,4.jpg
5,Abbey Road,1969,5.jpg
6,Let It Be,1970,6.jpg
